"caseid","weight","BIGFIVE_1","BIGFIVE_2","BIGFIVE_3","BIGFIVE_4","BIGFIVE_5","BIGFIVE_6","BIGFIVE_7","BIGFIVE_8","BIGFIVE_9","BIGFIVE_10","BIGFIVE_11","BIGFIVE_12","BIGFIVE_13","BIGFIVE_14","BIGFIVE_15","BIGFIVE_16","BIGFIVE_17","BIGFIVE_18","BIGFIVE_19","BIGFIVE_20","BIGFIVE_21","BIGFIVE_22","BIGFIVE_23","BIGFIVE_24","BIGFIVE_25","BIGFIVE_26","BIGFIVE_27","BIGFIVE_28","BIGFIVE_29","BIGFIVE_30","BIGFIVE_31","BIGFIVE_32","BIGFIVE_33","BIGFIVE_34","BIGFIVE_35","BIGFIVE_36","BIGFIVE_37","BIGFIVE_38","BIGFIVE_39","BIGFIVE_40","BIGFIVE_41","BIGFIVE_42","BIGFIVE_43","BIGFIVE_44","BIGFIVE_45","BIGFIVE_46","BIGFIVE_47","BIGFIVE_48","BIGFIVE_49","BIGFIVE_50","BIGFIVE_51","BIGFIVE_52","BIGFIVE_53","BIGFIVE_54","BIGFIVE_55","BIGFIVE_56","BIGFIVE_57","BIGFIVE_58","BIGFIVE_59","BIGFIVE_60","BIGFIVE_61","BIGFIVE_62","BIGFIVE_63","BIGFIVE_64","BIGFIVE_65","BIGFIVE_66","BIGFIVE_67","BIGFIVE_68","BIGFIVE_69","BIGFIVE_70","BIGFIVE_71","BIGFIVE_72","BIGFIVE_73","BIGFIVE_74","BIGFIVE_75","BIGFIVE_76","BIGFIVE_77","BIGFIVE_78","BIGFIVE_79","BIGFIVE_80","BIGFIVE_81","BIGFIVE_82","BIGFIVE_83","BIGFIVE_84","BIGFIVE_85","BIGFIVE_86","BIGFIVE_87","BIGFIVE_88","BIGFIVE_89","BIGFIVE_90","BIGFIVE_91","BIGFIVE_92","BIGFIVE_93","BIGFIVE_94","BIGFIVE_95","BIGFIVE_96","BIGFIVE_97","BIGFIVE_98","BIGFIVE_99","BIGFIVE_100","birthyr","gender","race","educ","marstat","employ","faminc_new","pid3","pid7","inputstate","inputzip","votereg","ideo5","newsint","presvote16post","religpew","pew_churatd","pew_bornagain","pew_religimp","pew_prayer","starttime","endtime"
391850646,1.13399745362967,5,4,1,2,4,2,2,2,1,1,2,3,4,3,3,4,2,5,4,2,5,4,1,1,4,4,4,3,5,4,5,3,1,1,4,3,2,2,5,2,3,1,1,1,3,4,4,4,4,2,4,3,1,2,3,1,4,3,5,3,4,2,1,2,4,4,3,2,5,3,5,1,1,2,2,4,3,3,4,2,4,4,1,1,4,3,4,2,2,3,5,2,1,1,4,4,1,2,5,2,1968,2,1,6,5,1,8,3,3,6,"92866-3046",1,2,2,1,1,3,2,2,2,2018-06-07 23:13:14,2018-06-07 23:20:24
391850743,0.713357416761005,5,2,3,3,5,3,4,3,3,5,4,2,2,2,5,3,4,1,2,1,5,3,4,1,5,4,2,1,2,2,4,2,4,3,5,5,4,1,1,2,2,5,5,3,5,4,2,1,3,2,3,2,5,4,4,4,3,1,2,4,4,1,3,1,5,5,2,1,2,3,5,2,5,2,4,4,3,1,1,2,4,4,5,1,5,3,4,1,2,2,4,2,5,2,5,4,4,1,2,2,1975,2,1,3,5,1,6,1,2,26,"49534",1,3,3,1,2,6,2,2,6,2018-06-07 23:16:05,2018-06-07 23:21:00
391753157,0.825811819807029,3,3,3,5,3,3,4,3,3,3,3,4,3,3,3,3,4,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,1948,2,1,2,4,5,8,1,1,25,"02189",1,1,1,1,2,5,2,2,2,2018-06-07 23:12:35,2018-06-07 23:21:31
391850770,0.791121240972708,3,2,3,4,3,3,3,1,1,4,4,3,3,4,4,2,5,2,2,1,2,2,3,3,4,4,3,1,4,3,4,1,3,2,3,3,4,3,3,3,2,1,3,4,4,4,2,1,3,2,1,2,3,4,3,3,4,1,5,5,4,1,3,1,5,4,2,1,4,3,1,3,4,2,5,3,3,3,3,3,3,3,4,2,5,4,3,1,3,4,3,1,3,3,5,4,3,2,2,3,1978,2,1,4,1,7,9,2,6,18,"46385",1,4,3,2,9,6,2,4,7,2018-06-07 23:17:16,2018-06-07 23:22:12
391716661,0.81417371669438,1,3,1,5,3,4,2,5,1,3,5,2,5,5,3,3,4,5,2,2,3,3,4,1,3,5,5,5,5,1,5,2,2,1,3,3,4,3,5,4,3,3,1,1,3,4,2,3,5,4,5,3,2,1,3,5,3,3,5,4,5,4,1,1,3,5,2,3,5,1,5,3,1,3,1,3,4,3,5,1,5,4,2,2,4,4,3,5,5,5,4,1,1,3,3,3,4,3,5,4,1986,2,1,4,5,7,4,1,1,26,"48910",1,1,2,1,10,6,2,4,8,2018-06-07 23:13:03,2018-06-07 23:22:15
391741474,0.779306319649223,4,5,4,3,5,5,3,4,4,3,4,3,4,5,4,3,5,3,4,5,4,3,4,3,5,4,5,2,4,4,3,3,5,3,4,2,4,5,4,2,5,5,3,5,4,5,4,3,4,4,5,4,3,4,3,3,5,5,4,3,5,4,5,5,4,3,3,4,3,4,5,4,3,3,4,4,3,3,4,5,4,3,4,5,5,4,5,4,3,4,4,4,4,4,4,4,4,4,5,4,1985,2,1,3,1,7,4,3,4,40,"73459",1,3,2,7,1,3,2,1,3,2018-06-07 23:17:38,2018-06-07 23:22:22
391802417,0.935633521164226,4,5,1,1,4,4,4,3,1,3,2,3,3,2,4,4,5,2,4,2,4,4,4,4,3,4,2,4,2,4,5,2,3,4,3,4,1,2,1,4,3,1,2,4,3,2,1,2,2,4,1,3,3,3,3,1,2,2,5,5,4,4,1,4,4,4,1,2,2,5,4,1,4,3,4,5,1,4,3,3,4,4,2,5,2,2,2,3,2,4,3,2,4,4,3,2,2,4,1,3,1966,2,1,3,1,7,7,2,6,12,"32113",1,3,2,2,11,6,2,4,6,2018-06-07 23:15:58,2018-06-07 23:23:08
391850672,1.08538787406074,5,3,4,3,5,4,2,1,2,5,5,1,5,2,4,4,1,1,3,1,3,4,5,2,3,5,4,1,1,1,5,3,4,3,5,5,5,1,1,3,4,2,4,2,5,5,5,1,1,2,2,3,4,3,4,3,4,2,2,4,5,2,3,2,5,5,4,1,1,1,4,1,5,4,4,5,2,1,1,1,5,3,5,3,4,4,4,1,1,3,3,1,4,2,5,5,4,1,3,1,1957,2,1,3,1,1,9,2,6,12,"32092",1,3,2,2,2,4,2,1,5,2018-06-07 23:14:18,2018-06-07 23:23:50
391548587,0.697628400350639,5,3,4,2,4,4,1,3,1,3,4,3,2,4,4,4,2,3,3,2,5,2,3,1,4,3,4,4,4,1,5,1,2,1,4,4,3,2,2,1,5,4,2,1,4,3,4,2,4,1,5,2,4,1,4,4,4,2,3,3,5,4,2,1,4,4,3,1,4,1,5,4,4,1,4,3,4,2,3,3,5,4,4,1,4,3,4,4,2,1,5,1,3,1,4,2,4,3,4,1,1964,1,1,6,4,1,11,1,1,50,"05445",1,2,1,1,9,5,2,4,7,2018-06-07 23:17:20,2018-06-07 23:25:42
391716628,1.69321165944464,5,4,4,2,4,4,2,2,1,3,4,4,4,2,4,2,4,2,3,1,5,3,4,4,4,5,3,2,1,1,5,2,4,1,5,5,1,1,1,2,4,1,5,2,4,4,2,2,4,3,4,2,4,2,5,4,3,1,3,4,5,3,4,1,5,5,3,1,2,5,4,2,4,1,5,5,2,1,2,4,5,2,4,2,5,5,4,1,2,2,5,1,4,1,5,4,4,1,1,2,1948,2,2,6,1,5,8,1,1,6,"92555",1,2,1,1,1,1,1,1,1,2018-06-07 23:13:17,2018-06-07 23:26:38
